stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
6320,,"FRANCOIS ARAGO",,49.101866,6.224284,,https://services.lemet.fr/fr/biv/arret/61878,0,,1
6325,,"FRANCOIS ARAGO",,49.101866,6.224284,,https://services.lemet.fr/fr/biv/arret/61878,0,,1
2,,"FRANCOIS ARAGO",,49.100638,6.220992,,https://services.lemet.fr/fr/biv/arret/61878,0,,2
35,,"FRANCOIS ARAGO",,49.100578,6.222063,,https://services.lemet.fr/fr/biv/arret/61878,0,,2
576,,"FRANCOIS ARAGO",,49.101367,6.224181,,https://services.lemet.fr/fr/biv/arret/61878,0,,2
577,,"FRANCOIS ARAGO",,49.101366,6.224181,,https://services.lemet.fr/fr/biv/arret/61878,0,,2
767,,"ARBALETRIERS",,49.050773,6.187018,,https://services.lemet.fr/fr/biv/arret/7516,0,,1
296,,"ARDECHE",,49.101048,6.106695,,https://services.lemet.fr/fr/biv/arret/7454,0,,2
293,,"ARDECHE",,49.101426,6.106284,,https://services.lemet.fr/fr/biv/arret/7454,0,,2
141,,"ARENES",,49.105977,6.173652,,https://services.lemet.fr/fr/biv/arret/1429,0,,1
126,,"ARENES",,49.105932,6.173607,,https://services.lemet.fr/fr/biv/arret/1429,0,,1
571,,"ARIANE",,49.095465,6.238675,,https://services.lemet.fr/fr/biv/arret/7292,0,,1
568,,"ARIANE",,49.094854,6.238771,,https://services.lemet.fr/fr/biv/arret/7292,0,,1
244,,"ARMOISIERES",,49.075620,6.189540,,https://services.lemet.fr/fr/biv/arret/26281,0,,2
583,,"ARMOISIERES",,49.077294,6.189373,,https://services.lemet.fr/fr/biv/arret/26281,0,,2
309,,"AUBEPINE",,49.072249,6.193072,,https://services.lemet.fr/fr/biv/arret/7295,0,,1
499,,"ARSENAL",,49.122882,6.187083,,https://services.lemet.fr/fr/biv/arret/26282,0,,2
476,,"ARSENAL",,49.122881,6.187075,,https://services.lemet.fr/fr/biv/arret/26282,0,,2
454,,"ARS LAQUENEXY",,49.092781,6.270088,,https://services.lemet.fr/fr/biv/arret/1509,0,,2
453,,"ARS LAQUENEXY",,49.092863,6.270358,,https://services.lemet.fr/fr/biv/arret/1509,0,,2
